r030,txt,rate,cc,exchangedate,date
36,Австралійський долар,24.3419,AUD,22.05.2023,22.05.2023
124,Канадський долар,27.121,CAD,22.05.2023,22.05.2023
156,Юань Женьміньбі,5.2148,CNY,22.05.2023,22.05.2023
203,Чеська крона,1.6628,CZK,22.05.2023,22.05.2023
208,Данська крона,5.3064,DKK,22.05.2023,22.05.2023
344,Гонконгівський долар,4.6779,HKD,22.05.2023,22.05.2023
348,Форинт,0.104995,HUF,22.05.2023,22.05.2023
356,Індійська рупія,0.44242,INR,22.05.2023,22.05.2023
360,Рупія,0.002448,IDR,22.05.2023,22.05.2023
376,Новий ізраїльський шекель,10.0441,ILS,22.05.2023,22.05.2023
392,Єна,0.26417,JPY,22.05.2023,22.05.2023
398,Теньге,0.081579,KZT,22.05.2023,22.05.2023
410,Вона,0.027572,KRW,22.05.2023,22.05.2023
484,Мексиканське песо,2.0739,MXN,22.05.2023,22.05.2023
498,Молдовський лей,2.0595,MDL,22.05.2023,22.05.2023
554,Новозеландський долар,22.9596,NZD,22.05.2023,22.05.2023
578,Норвезька крона,3.3735,NOK,22.05.2023,22.05.2023
643,Російський рубль,0.45676,RUB,22.05.2023,22.05.2023
702,Сінгапурський долар,27.1784,SGD,22.05.2023,22.05.2023
710,Ренд,1.8946,ZAR,22.05.2023,22.05.2023
752,Шведська крона,3.4751,SEK,22.05.2023,22.05.2023
756,Швейцарський франк,40.5664,CHF,22.05.2023,22.05.2023
818,Єгипетський фунт,1.1834,EGP,22.05.2023,22.05.2023
826,Фунт стерлінгів,45.4968,GBP,22.05.2023,22.05.2023
840,Долар США,36.5686,USD,22.05.2023,22.05.2023
933,Білоруський рубль,13.2919,BYN,22.05.2023,22.05.2023
944,Азербайджанський манат,21.5426,AZN,22.05.2023,22.05.2023
946,Румунський лей,7.9381,RON,22.05.2023,22.05.2023
949,Турецька ліра,1.8461,TRY,22.05.2023,22.05.2023
960,СПЗ (спеціальні права запозичення),48.8784,XDR,22.05.2023,22.05.2023
975,Болгарський лев,20.2003,BGN,22.05.2023,22.05.2023
978,Євро,39.5179,EUR,22.05.2023,22.05.2023
985,Злотий,8.7378,PLN,22.05.2023,22.05.2023
12,Алжирський динар,0.27031,DZD,22.05.2023,22.05.2023
50,Така,0.34176,BDT,22.05.2023,22.05.2023
51,Вірменський драм,0.09458,AMD,22.05.2023,22.05.2023
214,Домініканське песо,0.67228,DOP,22.05.2023,22.05.2023
364,Іранський ріал,0.00087068,IRR,22.05.2023,22.05.2023
368,Іракський динар,0.027915,IQD,22.05.2023,22.05.2023
417,Сом,0.41783,KGS,22.05.2023,22.05.2023
422,Ліванський фунт,0.002438,LBP,22.05.2023,22.05.2023
434,Лівійський динар,7.6759,LYD,22.05.2023,22.05.2023
458,Малайзійський ринггіт,8.1948,MYR,22.05.2023,22.05.2023
504,Марокканський дирхам,3.6257,MAD,22.05.2023,22.05.2023
586,Пакистанська рупія,0.12892,PKR,22.05.2023,22.05.2023
682,Саудівський ріял,9.7498,SAR,22.05.2023,22.05.2023
704,Донг,0.0015584,VND,22.05.2023,22.05.2023
764,Бат,1.07161,THB,22.05.2023,22.05.2023
784,Дирхам ОАЕ,9.9585,AED,22.05.2023,22.05.2023
788,Туніський динар,12.0181,TND,22.05.2023,22.05.2023
860,Узбецький сум,0.0032105,UZS,22.05.2023,22.05.2023
901,Новий тайванський долар,1.18911,TWD,22.05.2023,22.05.2023
934,Туркменський новий манат,10.4482,TMT,22.05.2023,22.05.2023
941,Сербський динар,0.34232,RSD,22.05.2023,22.05.2023
972,Сомоні,3.3504,TJS,22.05.2023,22.05.2023
981,Ларі,14.6673,GEL,22.05.2023,22.05.2023
986,Бразильський реал,7.3434,BRL,22.05.2023,22.05.2023
959,Золото,71802.45,XAU,22.05.2023,22.05.2023
961,Срібло,862.35,XAG,22.05.2023,22.05.2023
962,Платина,39105.36,XPT,22.05.2023,22.05.2023
964,Паладій,55276.36,XPD,22.05.2023,22.05.2023
